zip,ZCTA,total,rural,distance_from_shands,median_income,perc_below_poverty,prop_black,prop_hisp
52043,52043,2236,1,1039.202953,52684,7.5,0.005366726,0.002236136
12008,12008,480,0,1023.380668,73750,1.7,0,0
48063,48063,4020,1,910.4187792,59167,2.9,0.000497512,0.004228856
12137,12137,1901,1,1018.585043,60952,11.8,0,0.008942662
48079,48079,12185,0,908.7904163,60362,10.7,0.000574477,0.019860484
50565,50565,611,1,1148.383394,45341,14.3,0,0.024549918
50666,50666,1130,1,1069.728839,67625,5.9,0.000884956,0.002654867
83209,83209,913,0,1881.910951,9464,67.5,0.08762322,0.055859803
12089,12089,140,1,1039.374981,64500,8.6,0,0
12302,12302,27809,0,1022.408838,66915,4.9,0.016505448,0.02837211
12325,12302,27809,0,1022.408838,66915,4.9,0.016505448,0.02837211
3859,3858,4717,0,1105.543021,78980,9.1,0.011447954,0.051515794
3858,3858,4717,0,1105.543021,78980,9.1,0.011447954,0.051515794
14011,14011,9957,1,937.1726381,61838,3.4,0.22175354,0.082956714
48875,48875,10511,0,921.8744064,62363,7.8,0.028731805,0.040624108
57062,57062,2343,1,1253.968541,35750,13.7,0.01579172,0.061032864
51029,51029,360,1,1167.816009,52292,11.1,0,0
14210,14210,13787,0,931.7288312,34839,23.4,0.065278886,0.062812795
3054,3054,25563,0,1090.491488,91429,3.8,0.000938857,0.025935923
49530,49512,16331,0,929.730579,45475,13.1,0.197905823,0.068703692
49588,49512,16331,0,929.730579,45475,13.1,0.197905823,0.068703692
49512,49512,16331,0,929.730579,45475,13.1,0.197905823,0.068703692
52049,52049,1299,1,1035.515501,52917,5.2,0.013856813,0.03926097
83205,83201,37465,0,1893.358602,42391,18.2,0.009769118,0.081729614
83206,83201,37465,0,1893.358602,42391,18.2,0.009769118,0.081729614
83201,83201,37465,0,1893.358602,42391,18.2,0.009769118,0.081729614
50558,50558,683,1,1121.903514,53250,6.3,0,0.036603221
14424,14424,26862,0,952.2825341,54711,10.5,0.016044971,0.018464746
83112,83112,277,1,1821.203596,41905,0,0,0
3458,3458,6707,0,1078.82377,61486,6.2,0.004622037,0.006113016
3468,3458,6707,0,1078.82377,61486,6.2,0.004622037,0.006113016
14592,14592,187,1,944.7076312,83534,5.3,0,0
53149,53149,18899,0,969.9526532,82122,5.2,0.010318006,0.020053971
3469,3446,6254,1,1067.849845,55096,15.1,0,0.03837544
3446,3446,6254,1,1067.849845,55096,15.1,0,0.03837544
53544,53544,783,1,1003.683672,59688,9.6,0,0.005108557
12150,12150,842,0,1020.998137,75304,3,0,0
69201,69201,3999,0,1355.323552,48219,8.7,0.000750188,0.000500125
48414,48414,3081,1,916.2483046,49911,10.5,0,0.023369036
13317,13317,3787,0,1007.815706,49836,13.7,0.020068656,0.033007658
49508,49508,41389,0,929.625032,51003,12.9,0.219454444,0.070791756
49518,49508,41389,0,929.625032,51003,12.9,0.219454444,0.070791756
49560,49508,41389,0,929.625032,51003,12.9,0.219454444,0.070791756
48436,48436,3728,1,915.2967114,64420,7.2,0,0.0152897
5363,5363,2387,1,1052.853341,63077,6.4,0,0
49548,49548,30052,0,929.439831,39136,20,0.094935445,0.170071875
3841,3841,6126,0,1101.872264,93375,5.8,0.003917728,0.006856024
68777,68777,686,1,1281.907558,39432,13.6,0.016034985,0.004373178
50519,50519,657,1,1125.904596,45000,18.8,0,0.100456621
3053,3053,23884,0,1095.700993,94314,3,0.005736058,0.02641936
13051,13051,129,1,978.684955,-,89.9,0,0
50573,50573,34,1,1136.917917,38125,0,0,0
53156,53156,3064,1,975.1197267,57692,10.2,0.006201044,0.121083551
14233,14203,1751,0,932.1864984,26630,38,0.558537978,0.083380925
14270,14203,1751,0,932.1864984,26630,38,0.558537978,0.083380925
14264,14203,1751,0,932.1864984,26630,38,0.558537978,0.083380925
14280,14203,1751,0,932.1864984,26630,38,0.558537978,0.083380925
14203,14203,1751,0,932.1864984,26630,38,0.558537978,0.083380925
14205,14203,1751,0,932.1864984,26630,38,0.558537978,0.083380925
14263,14203,1751,0,932.1864984,26630,38,0.558537978,0.083380925
14273,14203,1751,0,932.1864984,26630,38,0.558537978,0.083380925
13313,13313,555,1,993.0007584,36458,37.3,0,0.055855856
82636,82636,4112,0,1598.605872,46349,11.7,0.01094358,0.066634241
13491,13491,3741,1,993.8645252,55338,13.5,0.00294039,0.042769313
83604,83604,774,1,2060.149967,37813,10.1,0,0.19250646
